time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_12:14:57.369061,27500,239,0.3125,243.0,256.0,542.0,28.625,114.93305439330544,104.7029288702929,257.43933054393307,12.61663179916318,196.0,256.0,442.0,22.75,111.72,100.8,250.56,12.215
2019-02-12_12:15:15.130491,30000,261,0.29411764705882354,243.0,256.0,542.0,28.625,114.68582375478927,104.21455938697318,256.91954022988506,12.585727969348659,196.0,256.0,442.0,22.75,110.13,100.16,247.36,12.01625
2019-02-12_12:15:32.876304,32500,284,0.2777777777777778,243.0,256.0,542.0,28.625,114.20422535211267,103.21126760563381,256.0774647887324,12.525528169014084,195.0,256.0,442.0,22.625,109.67,95.68,247.0,11.95875
2019-02-12_12:15:51.121991,35000,308,0.2631578947368421,243.0,256.0,542.0,28.625,113.48376623376623,102.23376623376623,254.51298701298703,12.435470779220779,195.0,256.0,438.0,22.625,108.15,94.08,243.6,11.76875
2019-02-12_12:16:09.961293,37500,329,0.25,243.0,256.0,542.0,28.625,113.74772036474164,102.419452887538,255.14893617021278,12.468465045592705,212.0,256.0,464.0,24.75,111.43,96.64,250.66,12.17875
2019-02-12_12:16:28.160120,40000,351,0.23809523809523808,243.0,256.0,542.0,28.625,113.6951566951567,102.2905982905983,254.9059829059829,12.461894586894587,212.0,256.0,464.0,24.75,111.11,97.28,249.48,12.13875
2019-02-12_12:16:46.202734,42500,373,0.22727272727272727,243.0,256.0,542.0,28.625,113.71045576407506,102.6916890080429,254.92761394101876,12.463806970509383,231.0,256.0,510.0,27.125,112.91,102.08,253.04,12.36375
2019-02-12_12:17:04.479668,45000,395,0.21739130434782608,243.0,256.0,542.0,28.625,113.51392405063291,102.4,254.3240506329114,12.439240506329114,231.0,256.0,510.0,27.125,113.1,101.44,252.84,12.3875
2019-02-12_12:17:22.865952,47500,416,0.20833333333333334,243.0,256.0,542.0,28.625,114.12259615384616,103.0,255.76442307692307,12.51532451923077,242.0,256.0,530.0,28.5,114.68,103.36,256.52,12.585
2019-02-12_12:17:41.392827,50000,437,0.2,243.0,256.0,542.0,28.625,114.12814645308924,102.95652173913044,255.7391304347826,12.516018306636155,242.0,256.0,530.0,28.5,114.22,103.36,255.32,12.5275
2019-02-12_12:18:00.281707,52500,459,0.19230769230769232,243.0,256.0,542.0,28.625,114.30065359477125,103.3202614379085,256.10021786492376,12.537581699346406,242.0,256.0,530.0,28.5,113.95,103.36,254.88,12.49375
2019-02-12_12:18:18.730476,55000,482,0.18518518518518517,243.0,256.0,542.0,28.625,113.90041493775934,102.77178423236515,255.3278008298755,12.487551867219917,242.0,256.0,530.0,28.5,115.07,103.68,258.22,12.63375
2019-02-12_12:18:37.257350,57500,504,0.17857142857142858,243.0,256.0,542.0,28.625,114.06746031746032,102.7936507936508,255.61111111111111,12.50843253968254,223.0,256.0,508.0,26.125,113.2,100.8,253.72,12.4
2019-02-12_12:18:55.829124,60000,526,0.1724137931034483,243.0,256.0,542.0,28.625,113.90684410646388,102.44866920152091,255.2471482889734,12.488355513307985,198.0,256.0,444.0,23.0,113.06,100.8,253.04,12.3825
2019-02-12_12:19:14.730911,62500,549,0.16666666666666666,243.0,256.0,542.0,28.625,113.70856102003643,102.35336976320583,254.77231329690346,12.463570127504553,196.0,256.0,436.0,22.75,110.16,97.6,246.64,12.02
2019-02-12_12:19:33.757668,65000,570,0.16129032258064516,266.0,256.0,600.0,31.5,114.03333333333333,102.62456140350878,255.35438596491227,12.504166666666666,266.0,256.0,600.0,31.5,113.76,101.12,253.88,12.47
2019-02-12_12:19:52.612589,67500,589,0.15625,266.0,256.0,600.0,31.5,114.5025466893039,103.44312393887945,256.3735144312394,12.562818336162987,266.0,256.0,600.0,31.5,116.84,105.92,260.24,12.855
