step,game,eps,max_tile,sum,total_reward
60194,529,0.1719536688034776,64,218,10.5
60300,530,0.1717032967032967,128,252,11.5
60433,531,0.1713901800282451,128,292,14.875
60586,532,0.17103138768026707,128,350,17.375
60727,533,0.17070206344654293,128,316,15.875
60792,534,0.17055067401626373,32,142,6.375
60932,535,0.17022551476195663,128,310,15.75
60986,536,0.17010042729227337,32,134,5.0
61125,537,0.1697792869269949,128,308,15.625
61212,538,0.16957890167136966,64,200,9.125
61359,539,0.1692413923827834,128,328,16.625
61545,540,0.16881626038220002,256,408,21.5
61646,541,0.1685863027000782,128,224,10.875
61768,542,0.1683093660796036,128,262,13.5
61820,543,0.16819160387513454,32,116,4.75
61872,544,0.16807400634647449,32,122,4.75
61980,545,0.16783029001074115,128,240,11.75
62079,546,0.16760750345271458,64,222,10.625
62197,547,0.1673427313011232,128,262,13.0
62324,548,0.16705869774403934,128,274,14.125
62426,549,0.16683127352320956,64,222,11.0
62610,550,0.16642258021568365,256,404,21.25
62677,551,0.16627425941444857,32,144,6.625
62745,552,0.16612399494983054,32,148,6.75
62885,553,0.1658154805332626,128,300,15.75
62987,554,0.1655914263383099,128,228,11.0
63069,555,0.16541174291045269,64,180,8.5
63335,556,0.1648315421639085,256,600,31.5
63524,557,0.16442176154898452,128,416,21.875
63645,558,0.1641604832884628,128,256,13.375
63719,559,0.16400110208740604,64,162,7.5
63800,560,0.16382699868938402,64,184,8.375
63918,561,0.16357402706168703,128,268,13.0
64081,562,0.16322586542353848,128,366,18.625
64163,563,0.16305127636539138,64,186,8.5
64253,564,0.16286008364493895,64,196,9.5
64394,565,0.16256144822742996,128,314,15.875
64480,566,0.1623798389191998,64,190,9.0
64622,567,0.1620808588988875,128,310,16.0
64758,568,0.16179554220922104,128,296,15.25
64912,569,0.1614736733322999,128,334,17.5
64999,570,0.1612924037729519,64,200,9.125
65079,571,0.16112607793346137,64,172,8.25
65201,572,0.1608730904364165,128,256,13.5
65288,573,0.16069316604103462,64,198,9.125
65408,574,0.16044565384812856,128,266,13.25
65526,575,0.1602030092533258,128,264,13.0
65751,576,0.15974236750968038,256,500,26.375
65952,577,0.15933309539591087,256,436,23.375
66101,578,0.15903105558453454,128,328,16.875
66184,579,0.1588633013064918,64,194,8.625
66260,580,0.15871000507872016,64,172,7.75
66393,581,0.158442447365419,128,284,14.875
66584,582,0.15805978453290173,256,442,22.125
66718,583,0.15779242091443862,128,294,15.0
66848,584,0.1575339012955588,128,284,14.5
67008,585,0.15721688383558888,128,364,18.25
67103,586,0.15702925769129303,64,214,10.125
67241,587,0.15675750241406552,128,314,15.5
67324,588,0.15659450791741833,64,198,8.625
67442,589,0.1563633634384929,128,272,13.0
67505,590,0.15624023498531342,32,146,6.125
67595,591,0.15606467320057432,64,200,9.5
67683,592,0.15589339386154172,64,186,9.25
67789,593,0.1556875786222272,128,236,11.5
67935,594,0.15540498539193137,128,324,16.5
68092,595,0.1551022433988485,128,352,17.875
68285,596,0.15473169524045305,256,424,22.375
68402,597,0.15450792316629997,64,262,12.875
68493,598,0.15433432518859655,64,212,9.625
68707,599,0.15392761707734554,256,468,25.0
68771,600,0.153806400807176,32,150,6.25
68868,601,0.15362304591485595,64,218,10.375
68979,602,0.15341376305551124,128,252,12.125
69120,603,0.15314873805439844,128,320,15.875
69253,604,0.15289958778271134,128,296,14.875
69376,605,0.15266989105476575,128,284,13.625
69440,606,0.1525506468147425,32,148,6.25
69611,607,0.15223295295392822,128,376,19.625
69764,608,0.151949820091413,128,356,17.375
69918,609,0.15166589822611565,128,344,17.5
70000,610,0.15151515151515152,64,182,8.5
70144,611,0.15125114950873628,128,316,16.25
70316,612,0.1509370170015456,128,394,19.75
70464,613,0.150667759510149,128,332,16.75
70552,614,0.15050811539758224,64,204,9.25
70631,615,0.1503650864298517,64,174,8.125
70772,616,0.15011048131424728,128,306,15.875
70862,617,0.15,64,206,9.5
70940,618,0.15,64,178,8.0
71033,619,0.15,64,208,9.875
71176,620,0.15,128,310,16.125
71289,621,0.15,64,248,12.375
71371,622,0.15,64,182,8.5
71510,623,0.15,128,292,15.625
71649,624,0.15,128,304,15.625
71789,625,0.15,128,316,15.75
71918,626,0.15,128,292,14.375
72014,627,0.15,64,212,10.25
72200,628,0.15,256,418,21.5
72297,629,0.15,128,230,10.375
72416,630,0.15,128,268,13.125
72526,631,0.15,64,246,12.0
72619,632,0.15,64,210,9.875
72825,633,0.15,256,468,24.0
72982,634,0.15,128,338,17.875
73086,635,0.15,64,234,11.25
73217,636,0.15,128,294,14.625
73327,637,0.15,64,246,12.0
73460,638,0.15,128,296,14.875
73569,639,0.15,128,246,11.875
73686,640,0.15,128,264,12.875
