time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_11:31:31.553635,42500,364,0.16698951305857992,245.0,256.0,546.0,28.875,116.57692307692308,101.62637362637362,260.7307692307692,12.822115384615385,228.0,256.0,514.0,26.75,115.73,100.48,259.86,12.71625
2019-02-12_11:31:38.529501,45000,382,0.15910898965791567,320.0,512.0,714.0,38.25,117.55759162303664,103.03664921465969,262.82722513089004,12.94469895287958,320.0,512.0,714.0,38.25,120.83,108.48,270.46,13.35375
2019-02-12_11:31:46.035650,47500,403,0.15195720884998784,320.0,512.0,714.0,38.25,117.72456575682382,102.98759305210918,263.16129032258067,12.965570719602978,320.0,512.0,714.0,38.25,123.09,112.0,275.12,13.63625
2019-02-12_11:31:52.756931,50000,428,0.14546300875687312,320.0,512.0,714.0,38.25,116.64252336448598,101.53271028037383,260.76635514018693,12.830315420560748,320.0,512.0,714.0,38.25,116.91,103.68,261.84,12.86375
2019-02-12_11:31:58.411989,52500,452,0.13962190388428136,320.0,512.0,714.0,38.25,116.02433628318585,101.02654867256638,259.51769911504425,12.75304203539823,320.0,512.0,714.0,38.25,114.67,100.8,256.94,12.58375
2019-02-12_11:32:04.730155,55000,470,0.13418856176699498,320.0,512.0,714.0,38.25,116.78936170212766,102.33191489361703,261.1787234042553,12.848670212765958,278.0,256.0,610.0,33.0,116.17,101.44,259.74,12.77125
2019-02-12_11:32:11.162899,57500,491,0.1291205598667476,320.0,512.0,714.0,38.25,116.9857433808554,102.25661914460285,261.58452138492873,12.873217922606925,278.0,256.0,610.0,33.0,114.49,98.88,256.06,12.56125
2019-02-12_11:32:17.570555,60000,513,0.1244880429234772,320.0,512.0,714.0,38.25,116.80116959064327,101.8635477582846,261.20857699805066,12.850146198830409,233.0,256.0,524.0,27.375,115.37,100.16,258.26,12.67125
2019-02-12_11:32:23.932971,62500,537,0.12013310748309126,320.0,512.0,714.0,38.25,116.38733705772812,101.19925512104282,260.37616387337056,12.798417132216015,233.0,256.0,524.0,27.375,116.77,100.56,261.78,12.84625
2019-02-12_11:32:30.336517,65000,557,0.11611434941130025,320.0,512.0,714.0,38.25,116.67324955116696,101.50089766606823,260.9443447037702,12.83415619389587,254.0,256.0,548.0,30.0,117.57,99.76,262.98,12.94625
2019-02-12_11:32:36.662607,67500,580,0.11236838852494016,320.0,512.0,714.0,38.25,116.0896551724138,100.4,259.6758620689655,12.761206896551725,254.0,256.0,548.0,30.0,111.16,89.84,248.92,12.145
